                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7341,                 2.6753,                 1.7854,                0.35906,                0.15717,                0.09344,                0.04421,                 1.9366,                 2.8192,                 1.9004,             0.00036735,             0.00036735,             0.00036735
                      2,                 1.6499,                 2.2102,                 1.7439,                0.35867,                 0.1214,                0.08192,                0.03664,                 2.0008,                 2.9548,                 2.0438,             0.00073038,             0.00073038,             0.00073038
                      3,                 1.7001,                 2.2105,                 1.7603,                0.80329,                0.11231,                0.11638,                0.05298,                  1.927,                 2.8845,                 1.9711,              0.0010861,              0.0010861,              0.0010861
                      4,                 1.6831,                 2.1732,                 1.7733,                 0.8578,                0.11873,                0.12105,                0.05404,                 1.9826,                 2.4685,                 2.0267,               0.001078,               0.001078,               0.001078
                      5,                 1.6558,                 2.0989,                 1.7474,                0.41027,                0.14193,                0.11801,                0.05575,                 1.9066,                 2.5221,                 1.9333,               0.001067,               0.001067,               0.001067
                      6,                 1.6544,                 2.1323,                 1.7643,                0.13013,                0.18537,                0.14046,                0.06657,                  1.851,                 2.2785,                 1.8795,               0.001056,               0.001056,               0.001056
                      7,                 1.6281,                 2.0444,                 1.7244,                0.40266,                0.21698,                 0.1453,                0.06872,                 1.9036,                  2.286,                 1.9204,               0.001045,               0.001045,               0.001045
                      8,                 1.6253,                 2.0755,                 1.7252,                 0.7504,                0.14167,                0.14404,                0.07061,                 1.8452,                   2.28,                 1.9032,               0.001034,               0.001034,               0.001034
                      9,                  1.565,                 1.9834,                 1.6902,                0.18205,                0.23502,                0.18267,                0.08471,                 1.8008,                 2.2237,                 1.8453,               0.001023,               0.001023,               0.001023
                     10,                 1.5492,                 1.9807,                 1.6896,                0.65906,                0.19907,                0.16175,                0.08456,                 1.7673,                 2.1533,                 1.8384,               0.001012,               0.001012,               0.001012
                     11,                 1.5183,                 1.9136,                 1.6711,                0.38809,                0.26396,                0.20433,                0.09715,                 1.7839,                 2.1953,                 1.8488,               0.001001,               0.001001,               0.001001
                     12,                 1.4981,                 1.8852,                 1.6429,                0.40112,                0.23212,                0.18399,                0.08725,                 1.7792,                 2.2147,                  1.805,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.4735,                 1.8496,                  1.625,                0.32898,                0.28292,                0.20146,                0.10216,                 1.7451,                 2.1023,                 1.8107,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.4821,                 1.8469,                 1.6313,                0.23113,                0.26367,                0.17318,                0.08721,                 1.7716,                 2.0922,                 1.8137,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.4606,                 1.8159,                 1.6139,                   0.18,                0.23967,                0.17983,                0.09245,                 1.7597,                 2.0851,                 1.8122,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.4445,                 1.7892,                 1.6076,                0.43265,                0.25219,                0.18178,                0.08959,                 1.7745,                 2.0657,                 1.8378,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.4337,                  1.797,                 1.6036,                0.19764,                0.25932,                0.18502,                0.08989,                 1.8256,                 2.1389,                 1.8708,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.4421,                 1.7819,                 1.5976,                0.16763,                0.34403,                0.19082,                0.09596,                 1.7429,                 2.0496,                 1.7997,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.4058,                 1.7276,                 1.5729,                0.24564,                0.29034,                0.19849,                0.09853,                  1.769,                 2.0264,                 1.7975,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.4199,                 1.7512,                 1.5827,                0.23876,                0.30801,                0.20467,                0.10391,                 1.7417,                 1.9706,                 1.7963,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.3918,                 1.7076,                 1.5678,                0.32635,                0.26044,                0.21786,                 0.1108,                 1.7265,                 1.9437,                 1.7595,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.3844,                 1.6922,                 1.5636,                0.28657,                0.28803,                0.20244,                0.10175,                 1.7664,                  1.984,                 1.8014,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.3703,                 1.6274,                   1.55,                0.23575,                0.31655,                0.20743,                0.10342,                 1.7122,                 1.9874,                 1.7686,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.3536,                 1.6603,                 1.5336,                0.21958,                0.35154,                0.21197,                0.10791,                 1.6872,                 1.9785,                 1.7641,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.3403,                 1.6363,                 1.5379,                0.31961,                0.34006,                 0.2446,                0.12541,                 1.7097,                 1.8787,                 1.7671,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.3287,                 1.6174,                 1.5263,                0.24961,                0.35116,                0.22982,                0.11205,                 1.7099,                 1.8678,                 1.7637,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.3539,                 1.6377,                 1.5272,                0.28945,                0.33195,                0.22924,                  0.119,                  1.659,                 1.8903,                 1.7159,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.3242,                 1.5824,                 1.5019,                0.31957,                0.29578,                0.24747,                0.12356,                 1.6976,                  1.869,                 1.7728,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.3109,                  1.568,                 1.5063,                0.26377,                0.29017,                0.21731,                0.11591,                  1.674,                 1.9177,                 1.7153,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.2933,                  1.543,                 1.5076,                0.23911,                0.32892,                0.24378,                0.12591,                 1.6545,                 1.8271,                 1.7298,             0.00079203,             0.00079203,             0.00079203
                     31,                    1.3,                 1.5316,                 1.4934,                0.28301,                0.34197,                0.23589,                0.12315,                 1.6799,                 1.8695,                 1.7438,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.2792,                 1.5201,                 1.4744,                0.34892,                0.30794,                0.26392,                0.13567,                  1.693,                 1.8065,                 1.7572,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.2909,                 1.5391,                 1.4873,                0.32322,                0.28148,                0.23018,                0.12021,                  1.658,                 1.8399,                  1.718,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.2789,                 1.5059,                 1.4801,                0.30865,                0.32095,                0.25289,                0.12977,                 1.6906,                 1.7927,                 1.7446,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.2758,                 1.4942,                 1.4789,                0.24698,                0.34822,                0.24376,                0.12864,                 1.6687,                 1.8195,                 1.7242,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.2592,                 1.4689,                 1.4639,                0.24971,                0.35034,                0.23615,                0.12564,                 1.6853,                 1.8635,                 1.7393,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2532,                  1.473,                 1.4781,                0.30472,                0.32053,                0.25974,                0.13177,                 1.6717,                 1.8002,                 1.7453,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.2617,                 1.4793,                 1.4628,                0.28058,                0.34221,                0.25533,                0.13768,                 1.6636,                 1.8078,                 1.7356,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2574,                 1.4565,                 1.4591,                 0.2779,                0.34229,                0.24617,                 0.1308,                  1.655,                 1.7805,                 1.7252,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.2588,                 1.4568,                 1.4594,                0.25018,                0.35509,                0.24142,                0.12304,                 1.6481,                 1.8119,                 1.7216,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2581,                 1.4399,                 1.4499,                0.32136,                0.34368,                0.24796,                 0.1323,                 1.6363,                 1.7924,                 1.7052,             0.00067104,             0.00067104,             0.00067104
                     42,                  1.261,                 1.4255,                 1.4463,                 0.2752,                0.37674,                0.27293,                0.13469,                 1.6669,                 1.7427,                 1.7446,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.2186,                 1.3743,                 1.4361,                0.33377,                0.28712,                0.26154,                0.12974,                 1.6974,                 1.8001,                 1.7572,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.2082,                 1.3585,                 1.4239,                0.31037,                0.33503,                0.25654,                0.13046,                 1.7026,                 1.8026,                 1.7701,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.2083,                 1.3687,                 1.4177,                0.30075,                0.33461,                0.25342,                0.13162,                 1.6815,                 1.8117,                  1.748,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.2139,                  1.362,                 1.4221,                0.28719,                0.33597,                0.26342,                0.13268,                 1.7019,                 1.7751,                 1.7728,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.2033,                 1.3513,                 1.4158,                0.28764,                 0.3519,                0.27368,                0.13918,                  1.682,                 1.7804,                 1.7524,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.1619,                 1.2885,                 1.3914,                0.29313,                0.33529,                0.25078,                0.13127,                 1.6701,                 1.8155,                 1.7361,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1917,                 1.3055,                 1.3877,                0.36121,                0.33089,                0.26877,                0.13202,                 1.6686,                 1.7566,                 1.7338,             0.00058305,             0.00058305,             0.00058305
